space,date,tide.1,tide.2,tide.3,tide.4
목포,2021-05-25,00:55/고/451,06:22/저/40,13:05/고/411,18:34/저/-17
여수,2021-05-25,01:53/저/54,08:00/고/313,14:00/저/21,20:38/고/350
속초,2021-05-25,02:06/고/28,07:52/저/15,13:42/고/33,20:41/저/5
부산,2021-05-25,01:00/저/6,07:13/고/118,13:09/저/-2,19:52/고/128
포항,2021-05-25,04:20/고/37,08:54/저/34,14:16/고/39,21:24/저/25
통영,2021-05-25,01:33/저/35,07:42/고/245,13:42/저/8,20:23/고/274
태안,2021-05-25,03:08/고/710,09:30/저/100,15:22/고/675,21:40/저/34
울산,2021-05-25,00:15/저/10,06:42/고/58,12:23/저/12,19:03/고/58
울릉도,2021-05-25,01:58/고/29,07:28/저/22,13:08/고/34,20:14/저/11
제주도,2021-05-25,03:52/저/72,09:22/고/245,15:59/저/25,22:15/고/287
인천,2021-05-25,03:40/고/866,10:04/저/101,15:57/고/831,22:17/저/26
영흥도,2021-05-25,03:27/고/808,09:49/저/101,15:43/고/772,22:02/저/21
목포,2021-05-26,01:48/고/484,07:09/저/26,13:54/고/412,19:17/저/-40
여수,2021-05-26,02:40/저/44,08:45/고/319,14:43/저/9,21:24/고/365
속초,2021-05-26,03:09/고/29,08:32/저/18,14:16/고/36,21:31/저/2
부산,2021-05-26,01:47/저/0,07:59/고/122,13:54/저/-5,20:38/고/132
포항,2021-05-26,05:49/고/39,09:30/저/37,14:39/고/42,22:23/저/23
통영,2021-05-26,02:22/저/27,08:26/고/248,14:25/저/-2,21:10/고/285
태안,2021-05-26,03:56/고/752,10:20/저/80,16:08/고/681,22:25/저/10
울산,2021-05-26,00:59/저/6,07:32/고/62,13:09/저/13,19:44/고/60
울릉도,2021-05-26,03:08/고/31,08:06/저/25,13:40/고/37,21:03/저/9
제주도,2021-05-26,04:43/저/68,10:03/고/246,16:41/저/11,23:02/고/300
인천,2021-05-26,04:28/고/914,10:55/저/76,16:44/고/840,23:03/저/-3
영흥도,2021-05-26,04:16/고/852,10:40/저/80,16:29/고/780,22:47/저/-7
목포,2021-05-27,02:40/고/507,07:55/저/25,14:42/고/407,19:59/저/-47
여수,2021-05-27,03:27/저/43,09:29/고/317,15:26/저/6,22:10/고/369
속초,2021-05-27,04:13/고/29,09:12/저/20,14:55/고/38,22:23/저/1
부산,2021-05-27,02:34/저/-3,08:45/고/121,14:39/저/-4,21:23/고/132
포항,2021-05-27,07:06/고/41,09:45/저/40,15:10/고/45,23:22/저/22
통영,2021-05-27,03:09/저/26,09:10/고/245,15:08/저/-4,21:57/고/287
태안,2021-05-27,04:43/고/775,11:09/저/77,16:54/고/675,23:08/저/3
울산,2021-05-27,01:43/저/4,08:20/고/64,13:54/저/16,20:23/고/60
울릉도,2021-05-27,04:18/고/32,08:40/저/28,14:16/고/39,21:56/저/8
제주도,2021-05-27,05:32/저/69,10:46/고/242,17:25/저/5,23:51/고/304
인천,2021-05-27,05:15/고/938,11:43/저/71,17:29/고/834,23:47/저/-11
영흥도,2021-05-27,05:04/고/874,11:28/저/78,17:15/고/774,23:31/저/-14
